epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,10217,0.3814,0.25347,1.06068,0.99871,1,0.99428,0.93276,0.40392,0.17584,0.85879,0.0002459,0.0002459,0.0002459
79,10348,0.38098,0.25014,1.05888,0.99872,1,0.99426,0.93047,0.41183,0.17026,0.86575,0.0002426,0.0002426,0.0002426
80,10478.8,0.38239,0.25373,1.06126,0.99864,0.99977,0.99424,0.92805,0.42025,0.18365,0.8724,0.0002393,0.0002393,0.0002393
81,10608.9,0.37858,0.24894,1.05648,0.9986,0.99975,0.99426,0.92582,0.4191,0.16997,0.86563,0.000236,0.000236,0.000236
82,10739.5,0.37811,0.24609,1.05658,0.99858,0.99968,0.99445,0.92238,0.4378,0.17636,0.89314,0.0002327,0.0002327,0.0002327
83,10870.3,0.37429,0.24801,1.05421,0.99863,0.99965,0.99433,0.92625,0.41931,0.17292,0.87399,0.0002294,0.0002294,0.0002294
84,11000.1,0.37278,0.24244,1.05442,0.9987,1,0.99433,0.93263,0.39432,0.17053,0.8463,0.0002261,0.0002261,0.0002261
85,11130.1,0.373,0.24373,1.05359,0.99835,0.99962,0.99456,0.92941,0.42027,0.1809,0.87303,0.0002228,0.0002228,0.0002228
86,11260.1,0.37091,0.24181,1.05124,0.9984,0.99964,0.99448,0.92607,0.42391,0.17591,0.87859,0.0002195,0.0002195,0.0002195
87,11390.8,0.36903,0.24346,1.05247,0.99861,0.99969,0.99463,0.92706,0.40476,0.17024,0.85852,0.0002162,0.0002162,0.0002162
88,11520.1,0.37089,0.24526,1.05077,0.99869,1,0.99443,0.9331,0.3865,0.16515,0.83859,0.0002129,0.0002129,0.0002129
89,11650.6,0.3659,0.23743,1.04649,0.99853,0.99966,0.99426,0.93002,0.38912,0.17154,0.84399,0.0002096,0.0002096,0.0002096
90,11781.4,0.36984,0.24336,1.04752,0.99863,0.99997,0.99436,0.92999,0.38399,0.15941,0.8364,0.0002063,0.0002063,0.0002063
91,11911.8,0.36563,0.23917,1.04715,0.99853,0.99964,0.99421,0.92709,0.39069,0.16088,0.84308,0.000203,0.000203,0.000203
92,12042,0.36233,0.23653,1.0439,0.99836,0.99963,0.9944,0.92492,0.40741,0.16751,0.86177,0.0001997,0.0001997,0.0001997
93,12172.2,0.36222,0.23888,1.04692,0.99839,0.99965,0.99446,0.93185,0.38834,0.15876,0.83908,0.0001964,0.0001964,0.0001964
94,12302.6,0.36354,0.23651,1.04658,0.99868,0.99974,0.99434,0.93299,0.39912,0.16849,0.8523,0.0001931,0.0001931,0.0001931
95,12432.9,0.36039,0.23445,1.04233,0.9985,0.99992,0.99425,0.93403,0.39597,0.17066,0.84798,0.0001898,0.0001898,0.0001898
96,12562.6,0.35629,0.23214,1.04107,0.99858,0.99996,0.99446,0.93297,0.39141,0.16551,0.84532,0.0001865,0.0001865,0.0001865
97,12693.1,0.36391,0.23741,1.04552,0.99864,0.99964,0.99449,0.92858,0.40567,0.17036,0.85981,0.0001832,0.0001832,0.0001832
98,12823.5,0.35494,0.23096,1.03848,0.99837,0.99963,0.99437,0.93194,0.38838,0.16474,0.84138,0.0001799,0.0001799,0.0001799
99,12953.7,0.35667,0.23281,1.04253,0.99828,0.99963,0.99434,0.92923,0.3942,0.16143,0.8467,0.0001766,0.0001766,0.0001766
100,13083.9,0.35252,0.23168,1.03778,0.99831,0.99962,0.99428,0.92805,0.39659,0.16793,0.8516,0.0001733,0.0001733,0.0001733
101,13214.3,0.3569,0.23516,1.04029,0.99823,0.9997,0.99433,0.92674,0.3937,0.16647,0.84543,0.00017,0.00017,0.00017
102,13344.9,0.35326,0.22943,1.03917,0.99831,0.99974,0.99442,0.93081,0.38597,0.16505,0.83565,0.0001667,0.0001667,0.0001667
